asn,name,class,cc
AS1049,Armstrong,Unknown,US
AS10490,Georgia Institute of Technology,Carrier,US
AS10491,"Diamond Link, Inc.",Unknown,US
AS10492,CAC-MediaNet,Unknown,US
AS10493,Grand Central Networks Inc.,Unknown,US
AS10494,"Rodney Grimes, Sole Proprietorship",Unknown,US
AS10496,"Livingston Enterprises, Inc.",Unknown,US
AS10497,IBRD,Unknown,US
AS10498,I-Wave Corp.,Unknown,US
AS10499,Rochester Gas and Electric Corporation,Unknown,US
AS105,Gould Computer Systems Division,Unknown,US
AS1050,Onvox LLC,Unknown,US
AS10500,"JAB Wireless, INC.",Unknown,US
AS10501,PacLink Communications LLC,Unknown,US
AS10502,IFX NETWORKS COLOMBIA,Unknown,CO
AS10503,Tangipahoa Internet Services,Unknown,US
AS10504,"DHL AIRWAYS, INC.",Unknown,US
AS10506,Evergreen Public Schools,Unknown,US
AS10507,Sprint Personal Communications Systems,Eyeball,US
AS10508,University of Arkansas,Unknown,US
AS10509,Internet Expressway,Unknown,US
AS1051,"Ridge Tower Network, LLC",Unknown,US
AS10510,River City Internet Group LLC,Unknown,US
AS10511,"CC Services, Inc",Unknown,US
AS10512,E-FOREX,Unknown,US
AS10513,RCN,Unknown,US
AS10514,Splitrock Services Inc.,Unknown,US
AS10515,Verisign Anycast US 0Z,Unknown,US
AS10516,Orb-bit Design Group,Unknown,US
AS10517,The Bank of New York Mellon Corporation,Unknown,US
