Quadrant,ASN,CC,Cone,Percentile,Name
Q1: GOLD STANDARD,45558,MM,49,80.73877551020408,Myanmar Posts and Telecommunications 
Q1: GOLD STANDARD,13576,US,44,69.06818181818181,SDN Communications
Q1: GOLD STANDARD,43061,SI,42,87.53809523809524,Stelkom d.o.o.
Q1: GOLD STANDARD,5610,CZ,39,71.17027027027028,"O2 Czech Republic, a.s."
Q1: GOLD STANDARD,16814,AR,38,81.42291666666667,NSS S.A.
Q1: GOLD STANDARD,51847,HK,35,67.20750000000001,Nearoute Limited
Q1: GOLD STANDARD,208293,IQ,34,93.71470588235294,AlSalam State Company
Q1: GOLD STANDARD,3342,DK,33,65.46363636363637,Cibicom A/S
Q1: GOLD STANDARD,9268,AU,32,63.55454545454546,Over The Wire Pty Ltd
Q1: GOLD STANDARD,21283,SI,32,75.86206896551724,A1 Slovenija d.d.
Q1: GOLD STANDARD,31313,RO,31,62.903225806451616,Serviciul de Telecomunicatii Speciale
Q1: GOLD STANDARD,62403,DE,30,96.07741935483871,PletX GmbH
Q1: GOLD STANDARD,15296,CA,30,81.65862068965517,Cybera Inc
Q1: GOLD STANDARD,40792,US,30,63.217241379310344,CYBERVERSE
Q1: GOLD STANDARD,29278,HU,30,84.44666666666667,Rackhost Zrt.
Q1: GOLD STANDARD,206810,RU,30,70.6896551724138,"GUP DNR ""UGLETELECOM"""
Q1: GOLD STANDARD,5408,GR,29,89.28571428571429,National Infrastructures for Research and Technology S.A.
Q1: GOLD STANDARD,3329,GR,29,62.06896551724138,Vodafone Greece
Q1: GOLD STANDARD,399855,US,29,62.528571428571425,"Keystone REN, LLC"
Q1: GOLD STANDARD,15704,ES,28,72.32142857142857,XTRA TELECOM S.A.
Q1: GOLD STANDARD,12843,DE,28,83.70370370370371,TelemaxX Telekommunikation GmbH
Q1: GOLD STANDARD,208905,IL,28,70.6,Exelera Telecom Ltd
Q1: GOLD STANDARD,14041,US,27,84.23703703703704,University Corporation for Atmospheric Research
Q1: GOLD STANDARD,62206,UA,27,92.5925925925926,Pitline Ltd
Q1: GOLD STANDARD,8501,PL,26,73.55,"Institute of Bioorganic Chemistry Polish Academy of Science, Poznan Supercomputing and Networking Center"
Q1: GOLD STANDARD,215120,AT,25,80.0,Evolus IT Solutions GmbH
Q1: GOLD STANDARD,17476,HK,25,97.32608695652173,CloudRadium (HK) Limited
Q1: GOLD STANDARD,47692,AT,25,80.44,Nessus GmbH
Q1: GOLD STANDARD,42313,AL,24,80.55416666666666,ONE ALBANIA SH.A.
Q1: GOLD STANDARD,33915,NL,24,86.95652173913044,Vodafone Libertel B.V.
Q1: GOLD STANDARD,25512,CZ,23,84.21052631578948,CD-Telematika a.s.
Q1: GOLD STANDARD,31376,RU,23,68.84347826086957,Smart Telecom Limited
