asn,name,cone,verdict,dirty,total
262588,EXPLORERNET INFOLINK TECNOLOGIA E TELECOMUNICACOES,10,PARTIAL (Mixed Feeds),3,4
42303,LM Layer and Mesh AB,10,SECURE (Full Coverage),0,2
262606,MICROTELL SCM LTDA,10,PARTIAL (Mixed Feeds),5,6
19422,Telefonica Moviles del Uruguay SA,9,SECURE (Active Local ROV),1,1
262659,VERO S.A,9,VULNERABLE (No Coverage),2,2
262663,METROFLEX TELECOMUNICACOES LTDA,9,PARTIAL (Mixed Feeds),89,94
35986,Vyve Broadband,9,SECURE (Active Local ROV),1,3
39421,Sapinet SAS,9,SECURE (Active Local ROV),1,2
262642,NETCELL TELECOM,9,VULNERABLE (No Coverage),1,1
210,Utah Education Network,9,PARTIAL (Mixed Feeds),2,4
1741,CSC - Tieteen tietotekniikan keskus Oy,9,SECURE (Active Local ROV),1,1
57795,NG-BLU Networks B.V.,9,SECURE (Active Local ROV),2,5
