asn,name,cc,cone,verdict,apnic_score,dirty,total
855,Bell Canada,CA,40,PARTIAL (Mixed Feeds),0.28,1,5
24835,Vodafone Egypt,EG,40,PARTIAL (Mixed Feeds),82.2,2,3
81,MCNC,US,40,SECURE (Active Local ROV),97.35,3,6
133676,Precious netcom pvt ltd,IN,39,VULNERABLE (No Coverage),0.27,4,4
263774,MARANDU COMUNICACIONES SOCIEDAD DEL ESTADO,AR,39,PARTIAL (Mixed Feeds),18.72,2,4
327693,Echotel Pty Ltd,ZA,39,VULNERABLE (No Coverage),81.8,2,2
263238,Eliana Vanessa Morocho Oña,EC,39,PARTIAL (Mixed Feeds),6.64,3,5
262468,ATEL ( Natel Telecom Ltda ),BR,39,PARTIAL (Mixed Feeds),0.13,4,6
262186,TV AZTECA SUCURSAL COLOMBIA,CO,39,PARTIAL (Mixed Feeds),56.1,5,6
25248,RADIOKOMUNIKACE a.s.,CZ,39,SECURE (Active Local ROV),99.54,1,3
37133,Airtel Tanzania,TZ,39,VULNERABLE (No Coverage),0.7,4,4
5408,National Infrastructures for Research and Technology S.A.,GR,38,SECURE (Active Local ROV),100.0,2,3
38182,Extreme Broadband,MY,38,PARTIAL (Mixed Feeds),5.17,1,3
263269,RAGTEK TECNOLOGIA,BR,38,VULNERABLE (No Coverage),0.38,3,3
29465,MTN NIGERIA Communication limited,NG,38,VULNERABLE (No Coverage),1.08,5,5
6799,Ote SA (Hellenic Telecommunications Organisation),GR,38,SECURE (Active Local ROV),99.91,1,1
22974,Charter Communications LLC,US,38,PARTIAL (Mixed Feeds),-1.0,1,2
51088,A2B IP B.V.,NL,38,PARTIAL (Mixed Feeds),-1.0,2,3
266520,VOOB TELECOM,BR,37,VULNERABLE (No Coverage),22.78,4,4
264953,INTEGRATO TELECOMUNICAÇÕES LTDA - ME,BR,37,VULNERABLE (No Coverage),0.0,2,2
16302,Suomi Communications Oy,FI,36,SECURE (Active Local ROV),100.0,3,4
264996,SERVLINK TELECOM LTDA - ME,BR,36,VULNERABLE (No Coverage),0.0,2,2
6866,Cyprus Telecommunications Authority,CY,36,PARTIAL (Mixed Feeds),0.85,2,6
29405,VNET a.s.,SK,36,SECURE (Active Local ROV),99.09,3,6
263047,Linkfull melhor fornecedor dos provedores,BR,36,PARTIAL (Mixed Feeds),0.29,5,6
6736,Institute for Research in Fundamental Sciences,IR,36,VULNERABLE (No Coverage),-1.0,1,1
8434,Telenor Sverige AB,SE,35,SECURE (Full Coverage),99.92,0,1
264275,ROLIM NET TECNOLOGIA LTDA,BR,35,VULNERABLE (No Coverage),0.79,2,2
37148,Globacom Limited,NG,35,VULNERABLE (No Coverage),2.55,6,6
263998,SIM FIBRA,BR,35,PARTIAL (Mixed Feeds),0.83,5,7
132116,Ani Network Pvt Ltd,IN,35,VULNERABLE (No Coverage),0.23,4,4
262287,Latitude.sh LTDA,BR,35,PARTIAL (Mixed Feeds),1.4,5,8
36149,"Hawaiian Telcom Services Company, Inc.",US,35,SECURE (Full Coverage),8.88,0,3
4213,Krypt Technologies,US,35,PARTIAL (Mixed Feeds),46.2,2,5
10310,Yahoo Holdings Inc.,US,35,PARTIAL (Mixed Feeds),-1.0,4,9
394256,Tech Futures Interactive Inc.,CA,35,SECURE (Active Local ROV),100.0,5,7
34019,Hivane Association,FR,35,PARTIAL (Mixed Feeds),-1.0,8,10
25512,CD-Telematika a.s.,CZ,35,SECURE (Active Local ROV),98.21,1,2
263482,Megalink Servicos Ltda,BR,35,VULNERABLE (No Coverage),0.0,6,6
3342,Cibicom A/S,DK,34,PARTIAL (Mixed Feeds),0.0,2,4
